"r[,1]","n[,1]","r[,2]","n[,2]",,
#0->1,,,,,#study id
41,1155,243,13613,,#1
47,420,116,478,,#2
17,158993,68,236693,,#3
297,79456,474,180790,,#4
3089,57604,4059,48706,,#5
6,466,22,1196,,#6
654,100751,644,83998,,#7
20,263,375,2949,,#8
20,215,327,2109,,#9
264,45285,415,45285,,#10
463,4105,1174,7119,,#11
5977,1614377,10827,1793698,,#12
95,6374,163,8500,,#13
10,273,243,2542,,#14
122,116247,1918,845906,,#15
#1->2,,,,,
17,17,68,68,,#3
474,1831,719,2139,,#5
654,654,644,644,,#7
20,20,375,375,,#8
463,463,1174,1174,,#11
#2->3,,,,,
2,17,21,68,,#3
161,1518,218,1638,,#5
14,654,22,644,,#7
#3->4,,,,,
2,2,21,21,,#3
646,646,1195,1195,,#12
183,183,296,296,,#16
#4->5,,,,,
0.5,2,0.5,21,,#3
57,183,72,296,,#16
#0->3,,,,,
183,402102,296,453015,,#16
#1->3,,,,,
646,5977,1195,10827,,#12
24,122,273,1918,,#15
#1->4,,,,,
41,264,69,415,,#10
#3->5,,,,,
24,24,273,273,,#15
