r1,r2,study_id
41,243,1
47,116,2
17,68,3
297,474,4
3089,4059,5
6,22,6
654,644,7
20,375,8
20,327,9
264,415,10
463,1174,11
5977,10827,13
95,163,14
10,243,15
122,1918,16
17,68,3
474,719,5
654,644,7
20,375,8
463,1174,11
2,21,3
161,218,5
14,22,7
183,296,12
646,1195,13
24,273,16
2,21,3
41,69,10
183,296,12
646,1195,13
0.5,0.5,3
57,72,12
24,273,16
17,68,3
474,719,5
654,644,7
20,375,8
463,1174,11
2,21,3
161,218,5
14,22,7
2,21,3
183,296,12
646,1195,13
0.5,0.5,3
57,72,12
