n1,n2,study_id,
1155,13613,1,
420,478,2,
158993,236693,3,
79456,180790,4,
57604,48706,5,
466,1196,6,
100751,83998,7,
263,2949,8,
215,2109,9,
45285,45285,10,
4105,7119,11,
1614377,1793698,13,
6374,8500,14,
273,2542,15,
116251,845906,16,
158993,236693,3,
57604,48706,5,
100751,83998,7,
263,2949,8,
4105,7119,11,
158993,236693,3,
57604,48706,5,
100751,83998,7,
402102,453015,12,
1614377,1793698,13,
116251,845906,16,
158993,236693,3,
45285,45285,10,
402102,453015,12,
1614377,1793698,13,
158993,236693,3,
402102,453015,12,
116251,845906,16,
17,68,3,
1831,2139,5,
654,644,7,
20,375,8,
463,1174,11,
17,68,3,
1518,1638,5,
654,644,7,
2,21,3,
183,296,12,
646,1195,13,
2,21,3,
183,296,12,
